"","X","night_date","site_id","num_calls","JDay","started","ended","disturbance","veg_cover","water_present","water_type","basal_area","snags","overstory","understory","canopy_cover_mean","overall_mcc"
"1",1,"2025-05-21","23A",1,141,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"2",2,"2025-05-21","23B",1,141,"2025-05-21","2025-05-28","na","hardwood","no","na",8184.72,NA,42,28,453.79,90.76
"3",3,"2025-05-22","23A",10,142,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"4",4,"2025-05-22","23B",5,142,"2025-05-21","2025-05-28","na","hardwood","no","na",8184.72,NA,42,28,453.79,90.76
"5",5,"2025-05-23","23A",5,143,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"6",6,"2025-05-23","23B",2,143,"2025-05-21","2025-05-28","na","hardwood","no","na",8184.72,NA,42,28,453.79,90.76
"7",7,"2025-05-24","23A",4,144,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"8",8,"2025-05-25","23A",1,145,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"9",9,"2025-05-25","23B",3,145,"2025-05-21","2025-05-28","na","hardwood","no","na",8184.72,NA,42,28,453.79,90.76
"10",10,"2025-05-26","23A",3,146,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"11",11,"2025-05-27","23A",5,147,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"12",12,"2025-06-03","126B",3,154,"2025-06-02","2025-06-10","na","hardwood","no","na",4852.36,22,30,52,374.6,74.92
"13",13,"2025-06-04","126B",1,155,"2025-06-02","2025-06-10","na","hardwood","no","na",4852.36,22,30,52,374.6,74.92
"14",14,"2025-06-04","42A",46,155,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"15",15,"2025-06-04","42B",139,155,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"16",16,"2025-06-05","42A",11,156,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"17",17,"2025-06-05","42B",54,156,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"18",18,"2025-06-06","42B",285,157,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"19",19,"2025-06-07","42A",29,158,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"20",20,"2025-06-07","42B",104,158,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"21",21,"2025-06-08","42A",16,159,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"22",22,"2025-06-08","42B",36,159,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"23",23,"2025-06-09","42A",15,160,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"24",24,"2025-06-09","42B",25,160,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"25",25,"2025-06-10","324A",8,161,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"26",26,"2025-06-10","324B",33,161,"2025-06-10","2025-06-18","na","mixed","no","na",3009.6,14,13,6,143.36,28.67
"27",27,"2025-06-10","42A",14,161,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"28",28,"2025-06-10","42B",8,161,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"29",29,"2025-06-11","324A",4,162,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"30",30,"2025-06-11","324B",63,162,"2025-06-10","2025-06-18","na","mixed","no","na",3009.6,14,13,6,143.36,28.67
"31",31,"2025-06-11","42A",12,162,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"32",32,"2025-06-11","42B",195,162,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"33",33,"2025-06-12","324A",188,163,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"34",34,"2025-06-12","324B",66,163,"2025-06-10","2025-06-18","na","mixed","no","na",3009.6,14,13,6,143.36,28.67
"35",35,"2025-06-12","42A",32,163,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"36",36,"2025-06-12","42B",200,163,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"37",37,"2025-06-13","324A",221,164,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"38",38,"2025-06-13","324B",61,164,"2025-06-10","2025-06-18","na","mixed","no","na",3009.6,14,13,6,143.36,28.67
"39",39,"2025-06-14","324A",913,165,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"40",40,"2025-06-14","324B",54,165,"2025-06-10","2025-06-18","na","mixed","no","na",3009.6,14,13,6,143.36,28.67
"41",41,"2025-06-15","324A",692,166,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"42",42,"2025-06-15","324B",74,166,"2025-06-10","2025-06-18","na","mixed","no","na",3009.6,14,13,6,143.36,28.67
"43",43,"2025-06-16","324A",145,167,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"44",44,"2025-06-16","324B",57,167,"2025-06-10","2025-06-18","na","mixed","no","na",3009.6,14,13,6,143.36,28.67
"45",45,"2025-06-17","324A",843,168,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"46",46,"2025-06-17","324B",60,168,"2025-06-10","2025-06-18","na","mixed","no","na",3009.6,14,13,6,143.36,28.67
"47",47,"2025-06-17","87A",2,168,"2025-06-17","2025-06-25","na","hardwood","yes","stream",10911.25,7,48,66,475.82,95.16
"48",48,"2025-06-17","87B",37,168,"2025-06-17","2025-06-25","na","softwood","no","na",7163.6,14,69,24,333.72,66.74
"49",49,"2025-06-18","324A",7,169,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"50",50,"2025-06-18","87A",4,169,"2025-06-17","2025-06-25","na","hardwood","yes","stream",10911.25,7,48,66,475.82,95.16
"51",51,"2025-06-18","87B",37,169,"2025-06-17","2025-06-25","na","softwood","no","na",7163.6,14,69,24,333.72,66.74
"52",52,"2025-06-19","87B",15,170,"2025-06-17","2025-06-25","na","softwood","no","na",7163.6,14,69,24,333.72,66.74
"53",53,"2025-06-20","87A",1,171,"2025-06-17","2025-06-25","na","hardwood","yes","stream",10911.25,7,48,66,475.82,95.16
"54",54,"2025-06-20","87B",76,171,"2025-06-17","2025-06-25","na","softwood","no","na",7163.6,14,69,24,333.72,66.74
"55",55,"2025-06-21","87A",1,172,"2025-06-17","2025-06-25","na","hardwood","yes","stream",10911.25,7,48,66,475.82,95.16
"56",56,"2025-06-21","87B",64,172,"2025-06-17","2025-06-25","na","softwood","no","na",7163.6,14,69,24,333.72,66.74
"57",57,"2025-06-22","87B",69,173,"2025-06-17","2025-06-25","na","softwood","no","na",7163.6,14,69,24,333.72,66.74
"58",58,"2025-06-23","66B",109,174,"2025-06-23","2025-07-01","na","hardwood","no","na",3319.27,8,19,46,356.47,71.29
"59",59,"2025-06-23","87B",53,174,"2025-06-17","2025-06-25","na","softwood","no","na",7163.6,14,69,24,333.72,66.74
"60",60,"2025-06-24","66B",135,175,"2025-06-23","2025-07-01","na","hardwood","no","na",3319.27,8,19,46,356.47,71.29
"61",61,"2025-06-24","87B",52,175,"2025-06-17","2025-06-25","na","softwood","no","na",7163.6,14,69,24,333.72,66.74
"62",62,"2025-06-25","66B",43,176,"2025-06-23","2025-07-01","na","hardwood","no","na",3319.27,8,19,46,356.47,71.29
"63",63,"2025-06-25","97A",11,176,"2025-06-25","2025-07-03","na","hardwood","yes","stream",9253.19,9,52,27,461.26,92.25
"64",64,"2025-06-25","97B",2,176,"2025-06-25","2025-07-03","na","hardwood","no","na",2990.89,5,13,37,319.03,63.81
"65",65,"2025-06-26","97A",9,177,"2025-06-25","2025-07-03","na","hardwood","yes","stream",9253.19,9,52,27,461.26,92.25
"66",66,"2025-06-26","97B",4,177,"2025-06-25","2025-07-03","na","hardwood","no","na",2990.89,5,13,37,319.03,63.81
"67",67,"2025-06-27","97B",3,178,"2025-06-25","2025-07-03","na","hardwood","no","na",2990.89,5,13,37,319.03,63.81
"68",68,"2025-06-28","97A",2,179,"2025-06-25","2025-07-03","na","hardwood","yes","stream",9253.19,9,52,27,461.26,92.25
"69",69,"2025-06-28","97B",6,179,"2025-06-25","2025-07-03","na","hardwood","no","na",2990.89,5,13,37,319.03,63.81
"70",70,"2025-06-29","97A",4,180,"2025-06-25","2025-07-03","na","hardwood","yes","stream",9253.19,9,52,27,461.26,92.25
"71",71,"2025-06-29","97B",10,180,"2025-06-25","2025-07-03","na","hardwood","no","na",2990.89,5,13,37,319.03,63.81
"72",72,"2025-06-30","113B",5,181,"2025-06-30","2025-07-08","na","hardwood","no","na",17097.9,28,30,40,376.33,75.27
"73",73,"2025-06-30","97B",3,181,"2025-06-25","2025-07-03","na","hardwood","no","na",2990.89,5,13,37,319.03,63.81
"74",74,"2025-07-01","113A",3,182,"2025-06-30","2025-07-08","na","hardwood","yes","stream",5782.52,6,16,29,330.74,66.15
"75",75,"2025-07-01","113B",2,182,"2025-06-30","2025-07-08","na","hardwood","no","na",17097.9,28,30,40,376.33,75.27
"76",76,"2025-07-02","113B",3,183,"2025-06-30","2025-07-08","na","hardwood","no","na",17097.9,28,30,40,376.33,75.27
"77",77,"2025-07-02","131A",26,183,"2025-07-02","2025-07-10","na","hardwood","yes","stream",26198.53,31,24,25,468.1,93.62
"78",78,"2025-07-02","131B",40,183,"2025-07-02","2025-07-10","na","mixed","no","na",7549,0,6,13,347.36,69.47
"79",79,"2025-07-02","97A",1,183,"2025-06-25","2025-07-03","na","hardwood","yes","stream",9253.19,9,52,27,461.26,92.25
"80",80,"2025-07-03","113B",3,184,"2025-06-30","2025-07-08","na","hardwood","no","na",17097.9,28,30,40,376.33,75.27
"81",81,"2025-07-03","131A",40,184,"2025-07-02","2025-07-10","na","hardwood","yes","stream",26198.53,31,24,25,468.1,93.62
"82",82,"2025-07-03","131B",38,184,"2025-07-02","2025-07-10","na","mixed","no","na",7549,0,6,13,347.36,69.47
"83",83,"2025-07-04","113A",1,185,"2025-06-30","2025-07-08","na","hardwood","yes","stream",5782.52,6,16,29,330.74,66.15
"84",84,"2025-07-04","113B",12,185,"2025-06-30","2025-07-08","na","hardwood","no","na",17097.9,28,30,40,376.33,75.27
"85",85,"2025-07-04","131A",38,185,"2025-07-02","2025-07-10","na","hardwood","yes","stream",26198.53,31,24,25,468.1,93.62
"86",86,"2025-07-04","131B",51,185,"2025-07-02","2025-07-10","na","mixed","no","na",7549,0,6,13,347.36,69.47
"87",87,"2025-07-05","113A",1,186,"2025-06-30","2025-07-08","na","hardwood","yes","stream",5782.52,6,16,29,330.74,66.15
"88",88,"2025-07-05","113B",7,186,"2025-06-30","2025-07-08","na","hardwood","no","na",17097.9,28,30,40,376.33,75.27
"89",89,"2025-07-05","131A",59,186,"2025-07-02","2025-07-10","na","hardwood","yes","stream",26198.53,31,24,25,468.1,93.62
"90",90,"2025-07-05","131B",28,186,"2025-07-02","2025-07-10","na","mixed","no","na",7549,0,6,13,347.36,69.47
"91",91,"2025-07-06","113A",2,187,"2025-06-30","2025-07-08","na","hardwood","yes","stream",5782.52,6,16,29,330.74,66.15
"92",92,"2025-07-06","113B",4,187,"2025-06-30","2025-07-08","na","hardwood","no","na",17097.9,28,30,40,376.33,75.27
"93",93,"2025-07-06","131A",86,187,"2025-07-02","2025-07-10","na","hardwood","yes","stream",26198.53,31,24,25,468.1,93.62
"94",94,"2025-07-06","131B",43,187,"2025-07-02","2025-07-10","na","mixed","no","na",7549,0,6,13,347.36,69.47
"95",95,"2025-07-07","131B",1,188,"2025-07-02","2025-07-10","na","mixed","no","na",7549,0,6,13,347.36,69.47
"96",96,"2025-07-08","131A",1,189,"2025-07-02","2025-07-10","na","hardwood","yes","stream",26198.53,31,24,25,468.1,93.62
"97",97,"2025-07-08","131B",12,189,"2025-07-02","2025-07-10","na","mixed","no","na",7549,0,6,13,347.36,69.47
"98",98,"2025-07-09","131A",31,190,"2025-07-02","2025-07-10","na","hardwood","yes","stream",26198.53,31,24,25,468.1,93.62
"99",99,"2025-07-09","131B",26,190,"2025-07-02","2025-07-10","na","mixed","no","na",7549,0,6,13,347.36,69.47
"100",100,"2025-07-09","6B",2,190,"2025-07-09","2025-07-17","na","hardwood","no","na",1056.56,1,2,32,139.06,27.81
"101",101,"2025-07-10","131A",12,191,"2025-07-02","2025-07-10","na","hardwood","yes","stream",26198.53,31,24,25,468.1,93.62
"102",102,"2025-07-10","131B",17,191,"2025-07-02","2025-07-10","na","mixed","no","na",7549,0,6,13,347.36,69.47
"103",103,"2025-07-12","6B",1,193,"2025-07-09","2025-07-17","na","hardwood","no","na",1056.56,1,2,32,139.06,27.81
"104",104,"2025-07-22","44B",3,203,"2025-07-22","2025-07-31","na","mixed","no","na",652.84,1,2,25,106.62,21.32
"105",105,"2025-08-06","2A",37,218,"2025-08-06","2025-08-07","na","hardwood","yes","stream",26575.31,2,19,1,464.9,92.98
"106",106,"2025-08-07","2A",38,219,"2025-08-06","2025-08-07","na","hardwood","yes","stream",26575.31,2,19,1,464.9,92.98
"107",107,"2025-08-08","2A",42,220,"2025-08-06","2025-08-07","na","hardwood","yes","stream",26575.31,2,19,1,464.9,92.98
"108",108,"2025-08-09","2A",48,221,"2025-08-06","2025-08-07","na","hardwood","yes","stream",26575.31,2,19,1,464.9,92.98
"109",109,"2025-08-10","2A",62,222,"2025-08-06","2025-08-07","na","hardwood","yes","stream",26575.31,2,19,1,464.9,92.98
"110",110,"2025-08-11","2A",48,223,"2025-08-06","2025-08-07","na","hardwood","yes","stream",26575.31,2,19,1,464.9,92.98
"111",111,"2025-08-12","2A",46,224,"2025-08-06","2025-08-07","na","hardwood","yes","stream",26575.31,2,19,1,464.9,92.98
